"","timestamp","bib.nombre","bib.siglas","bib.tipo","bib.ccaa","p02.h1","p03.h1.a","p03.h1.b","p03.h1.c","p04.h1","p05.h1","p06.h1.a","p06.h1.b","p06.h1.c","p06.h1.d","p06.h1.e","p06.h1.f","p07.h2","p08.h2","p09.h2.a","p09.h2.b","p09.h2.c","p09.h2.d","p10.h2.a","p10.h2.b","p10.h2.c","p11.h3","p12.h3","p13.h3","p14.h3","p15.h3.c01","p15.h3.c02","p15.h3.c03","p15.h3.c04","p15.h3.c05","p15.h3.c06","p15.h3.c07","p15.h3.c08","p15.h3.c09","p15.h3.c10","p15.h3.c11","p15.h3.c12"
"1","1/22/2014 12:37:09","Universidad de Granada","UGR","Pública","Andalucía","Sí","Sí","No","No","En un repositorio donde se incluyen diversos tipos de datos","Repositorio desarrollado por la biblioteca",NA,NA,NA,NA,NA,NA,"Sí","Sí","Sí","No","No","No","No","No","Sí","No",NA,NA,"Bibliotecario con formación en gestión de datos de investigación",4,2,4,4,5,4,2,3,4,2,3,2
"2","1/22/2014 15:43:27","Universitat Autònoma de Barcelona","UAB","Pública","Cataluña","Sí","Sí","No","No","En un repositorio donde se incluyen diversos tipos de datos","Repositorio desarrollado conjuntamente entre la biblioteca y otro/s departamento/s de la universidad",NA,NA,NA,NA,NA,NA,"Sí","No",NA,NA,NA,NA,"No","No","Sí","Sí","Personal ya presente en la plantilla - proporcionándole formación específica","Bibliotecario especializado en mapas y cartografía","Una combinación de las opciones 3 y 4",5,3,3,2,4,4,4,4,4,4,4,1
"3","1/22/2014 16:35:32","Universidad Francisco de Vitoria","UFV","Privada","País Vasco","No","No","No","No","","","Sí","Sí","Sí","No","No","Sí","No",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bibliotecario con formación en gestión de datos geográficos",5,4,3,3,3,5,5,5,5,5,5,4
"4","1/23/2014 13:17:17","Universidad Carlos III de Madrid","UC3M","Pública","Madrid","No","No","No","No","","","No","No","No","Sí","No","No","Sí","No",NA,NA,NA,NA,"No","Sí","No","No",NA,NA,"Bibliotecario con formación en gestión de datos de investigación",5,5,5,5,3,5,5,3,5,3,5,4
"5","1/23/2014 14:13:05","Universitat de Vic","UVIC","Pública","Cataluña","No","No","No","No","","","No","No","No","Sí","No","Sí","No",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Lo desconozco",4,3,1,2,2,4,4,3,2,2,2,2
"6","1/23/2014 19:35:19","Universidad de Oviedo","UNIOVU","Pública","Asturias","No","No","No","No","","","No","No","No","No","No","Sí","Sí","No",NA,NA,NA,NA,"No","Sí","No","No",NA,NA,"Especialista en datos geográficos / sistemas de información geográfica",3,3,3,2,4,4,4,3,4,3,4,2
"7","1/24/2014 10:22:56","Universitat de Barcelona","UBU","Pública","Cataluña","No","No","No","No","","","No","No","No","No","Sí","No","Sí","No",NA,NA,NA,NA,"No","Sí","No","No",NA,NA,"Bibliotecario especializado en mapas y cartografía",4,4,4,4,4,4,4,4,4,4,4,4
"8","1/24/2014 11:25:06","Universidad Católica de Valencia San Vicente Martir","UCV","Privada","Comunidad Valenciana","No","No","No","No","","","No","No","No","Sí","No","Sí","No",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bibliotecario especializado en mapas y cartografía",4,3,4,4,4,3,3,3,5,4,4,2
"9","1/24/2014 12:22:24","Universidad de Extremadura","UNEX","Pública","Extremadura","No","No","No","No","","","No","No","No","Sí","No","No","Sí","No",NA,NA,NA,NA,"No","No","Sí","No",NA,NA,"Bibliotecario con formación en gestión de datos geográficos",4,5,3,3,3,4,5,3,5,4,5,4
"10","1/24/2014 12:28:58","Universitat de València","UVEG","Pública","Comunidad Valenciana","No","No","No","No","","","No","No","No","No","Sí","No","Sí","No",NA,NA,NA,NA,"No","Sí","No","Sí","Personal ya presente en la plantilla - proporcionándole formación específica","Bibliotecario especializado en mapas y cartografía","Bibliotecario con formación en gestión de datos geográficos",5,3,2,3,5,5,4,5,5,3,5,2
"11","1/24/2014 13:01:18","Universidad Complutense de Madrid","UCM","Pública","Madrid","Sí","Sí","No","No","Todavía no se ha definido un plan para su gestión","","Sí","Sí","No","Sí","Sí","No","Sí","No",NA,NA,NA,NA,"Sí","Sí","Sí","No",NA,NA,"Especialista en datos geográficos / sistemas de información geográfica con formación en Biblioteconomía",5,5,4,4,5,5,5,5,5,4,5,4
"12","1/29/2014 11:29:59","Universidad de Navarra","UNAV","Pública","Navarra","No","No","No","No","","","No","No","No","Sí","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bibliotecario generalista",4,4,2,3,3,4,4,3,2,3,4,2
"13","1/30/2014 8:53:27","Universidad de Burgos","UBU","Pública","Castilla León","No","No","No","No","","","No","No","No","Sí","No","Sí","No",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bibliotecario con formación en gestión de datos geográficos",3,3,2,2,3,3,3,3,3,2,3,3
"14","2/4/2014 19:32:53","Universidad de Alcalá","UHA","Pública","Madrid","No","No","No","No","","","No","No","No","Sí","Sí","Sí","Sí","No",NA,NA,NA,NA,"No","No","Sí","No",NA,NA,"Especialista en datos geográficos / sistemas de información geográfica con formación en Biblioteconomía",4,5,5,3,3,5,4,4,5,3,5,5
"15","2/5/2014 10:23:32","Universidad de Sevilla","US","Pública","Andalucía","No","No","No","No","","","No","No","No","No","No","Sí","No",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bibliotecario con formación en gestión de datos geográficos",5,4,3,3,4,5,5,4,3,4,5,4
"16","2/11/2014 8:25:26","Universidad de León","ULE","Pública","Castilla León","No","No","No","No","","","No","No","No","No","Sí","No","Sí","No",NA,NA,NA,NA,"No","Sí","Sí","No",NA,NA,"Bibliotecario con formación en gestión de datos geográficos",5,2,2,1,5,4,4,4,5,3,4,3
"17","2/10/2014 16:20:06","Universidad Internacional de La Rioja","UNIR","Privada","La Rioja","No","No","No","No","","","No","Sí","No","No","No","No","Sí","No",NA,NA,NA,NA,"Sí","Sí","Sí","No",NA,NA,"Bibliotecario con formación en gestión de datos geográficos",3,4,4,5,4,3,4,5,5,4,5,4
"18","2/11/2014 8:54:29","Universidad Politécnica de Cartagena","UPCT","Pública","Murcia","No","No","No","No","","","No","No","No","Sí","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bibliotecario con formación en gestión de datos geográficos",4,4,5,5,4,4,4,4,5,3,3,3
"19","2/11/2014 11:50:00","Universitat Jaume I","UJI","Pública","Comunidad Valenciana","No","No","No","No","","","Sí","No","Sí","No","No","Sí","No",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bibliotecario especializado en mapas y cartografía",4,5,5,5,5,5,5,5,4,5,5,5
"20","2/11/2014 12:34:50","Universidad de La Rioja","UNIRIOJA","Pública","La Rioja","No","No","No","No","","","No","Sí","No","Sí","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bibliotecario con formación en gestión de datos geográficos",5,5,1,3,4,5,5,5,3,3,4,3
"21","2/11/2014 13:16:40","Universitat d'Alacant","UA","Pública","Comunidad Valenciana","Sí","Sí","Sí","Sí","En un repositorio específico de datos geográficos","Repositorio desarrollado conjuntamente entre la biblioteca y otro/s departamento/s de la universidad",NA,NA,NA,NA,NA,NA,"Sí","Sí","Sí","Sí","No","No","No","Sí","Sí","Sí","Personal ya presente en la plantilla - proporcionándole formación específica","Bibliotecario generalista, Bibliotecario con formación en gestión de datos de investigación, Bibliotecario especializado en mapas y cartografía","Bibliotecario con formación en gestión de datos geográficos",4,4,3,3,4,4,4,4,5,3,4,2
"22","2/11/2014 15:40:02","Universitat de Girona","UDG","Pública","Cataluña","Sí","Sí","Sí","Sí","Cartoteca","",NA,NA,NA,NA,NA,NA,"Sí","Sí","No","No","Sí","No","Sí","No","No","Sí","Personal ya presente en la plantilla - proporcionándole formación específica","Bibliotecario con formación en gestión de datos geográficos, Especialista en datos geográficos / sistemas de información geográfica con formación en Biblioteconomía","Bibliotecario con formación en gestión de datos de investigación",5,5,5,5,5,5,5,5,5,5,5,5
"23","2/11/2014 15:46:10","Universidad de Mondragón","Mondragón","Privada","País Vasco","No","No","No","No","","","No","No","Sí","Sí","No","Sí","No",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bibliotecario con formación en gestión de datos geográficos",4,5,4,3,3,5,4,5,4,3,4,3
"24","2/12/2014 10:17:19","Universidad del País Vasco","UPV/EHU","Pública","País Vasco","No","No","No","No","","","No","No","No","Sí","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No puedo contestar porque no lo hemos estudiado",3,3,3,3,3,3,3,3,3,3,3,3
"25","2/12/2014 14:45:03","Universidade de Santiago de Compostela","USC","Pública","Galicia","No","No","No","No","","","No","No","No","No","No","Sí","No",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Especialista en datos geográficos / sistemas de información geográfica",3,3,3,3,3,3,3,3,3,3,3,3
"26","2/13/2014 10:30:17","Universidad de Murcia","UM","Pública","Murcia","Sí","Sí","No","No","En un repositorio específico de datos geográficos","Repositorio desarrollado por la biblioteca",NA,NA,NA,NA,NA,NA,"Sí","No",NA,NA,NA,NA,"No","Sí","No","No",NA,NA,"Bibliotecario generalista",2,2,4,4,4,3,4,3,3,4,3,4
"27","2/13/2014 12:07:21","Universidad de La Laguna","ULL","Pública","Canarias","No","No","No","No","","","No","No","No","No","Sí","No","Sí","Sí","No","No","No","Sí","No","No","Sí","No",NA,NA,"No lo sé",3,3,3,3,3,3,3,3,3,3,3,3
"28","2/18/2014 12:35:03","Universidad Politécnica de Madrid","UPM","Pública","Madrid","No","No","No","No","","","No","No","Sí","No","No","No","Sí","No",NA,NA,NA,NA,"No","Sí","No","No",NA,NA,"Especialista en datos geográficos / sistemas de información geográfica con formación en Biblioteconomía",5,5,5,5,5,5,5,5,5,5,5,5
